Subject,Term 
art,The Gross Clinic
art,Ivan Aivazovsky
art,The Ninth Wave
art,Paolo Uccello
art,St. George And The Dragon
art,Thomas Gainsborough
art,Mr. and Mrs. Robert Andrews
art,Jean-Leon Gerome
art,Pollice Verso
art,Antoine Watteau
art,Pilgrimage To Cythera
art,William-Adolphe Bouguereau
art,Wave
art,Peter Paul Rubens
art,The Fall of the Damned
art,Edouard Manet
art,A Bar At The Folies Bergere
art,Frans Hals
art,The Laughing Cavalier
art,Franz Marc
art,Foxes
art,Henri Matisse
art,Woman With A Hat
art,John Singleton Copley
art,Watson And The Shark
art,Joshua Reynolds
art,The Ladies Waldegrave
art,Winslow Homer
art,Breezing Up
art,Amedeo Modigliani
art,Large Seated Nude
art,George Bellows
art,Stag Night at Sharkeys
art,Pablo Picasso
art,Boy With a Pipe
art,Childe Hassam
art,The Avenue in the Rain
art,Leonardo Da Vinci
art,Annunciation
art,Hans Holbein the Younger
art,The Ambassadors
art,Sir Frederic Leighton
art,Flaming June
art,Artemisia Gentileschi
art,Susanna and the Elders
art,Wassily Kandinsky
art,Composition VIII
art,Jacques-Louis David
art,Oath of the Horatii
art,William Bouguereau
art,Dante and Virgil in Hell
art,Francisco Goya
art,Saturn Devouring His Son
art,Albrecht Altdorfer
art,Battle of Issus
art,Vincent van Gogh
art,The Potato Eaters
art,Louis Jean François Lagrenée
art,Mars and Venus Allegory of Peace
art,Paul Klee
art,Red Balloon
art,John William Waterhouse
art,The Lady of Shalott
art,Rembrandt
art,Portrait of a Gentleman with a Tall Hat and Gloves
art,John Constable
art,The Hay Wain
art,Giorgione
art,Sleeping Venus
art,Raphael
art,Portrait of a Young Man
art,Camille Pissaro
art,Boulevard Montmartre on a Winter Morning
art,Paolo Veronese
art,The Wedding at Cana
art,Rembrandt
art,The Anatomy Lesson of Dr. Tulip
art,Théodore Géricault
art,The Raft of the Medusa
art,Jean-Leon Gerome
art,The Bath
art,William Turner
art,Fort Vimieux
art,Claude Monet
art,The Japanese Bridge
art,Emanuel Gottlieb Leutze
art,Washington Crossing the Delaware
art,Caravaggio
art,Supper at Emmaus
art,Albrecht Durer
art,Feast of the Rosary
art,William Holman Hunt
art,The Hireling Shepherd
art,Pieter Bruegel the Elder
art,Hunters in the Snow
art,Paul Gauguin
art,The Seed of Areoi
art,Ilya Repin
art,Barge Haulers on the Volga
art,Caravaggio
art,Cardsharps
art,Caravaggio
art,Medusa
art,Eugene Boudin
art,Le Havre
art,Eugene Boudin
art,Women on the Beach at Berck
art,Pablo Picasso
art,Bull's Head
art,Pablo Picasso
art,Woman with a Fan
art,Andrea Mantegna
art,St. Sebastian
art,Titian
art,The Three Ages of Man
art,Rembrandt
art,The Jewish Bride
art,Titian
art,Sacred and Profane Love
art,Henri Rousseau
art,The Dream
art,Pierre Auguste Renoir
art,Mme Charpentier
art,"Guernica, by Pablo Picasso"
art,A tempo
art,Return to original tempo
art,accelerando
art,accidentals
art,adagio
art,allegretto
art,allegro
art,andante
art,andantino
art,cantabile
art,chromatic scale
art,coda
art,common time
art,con espressione
art,con moto
art,con spirito
art,crescendo
art,caesura (cut off)
art,cut time
art,Dal Segno al Fine (D.S. al Fine)
art,Decrescendo
art,Dolce
art,Quaver or 8th note
art,Enharmonic tones
art,multi measure rest
art,Fermata
art,1st and 2nd endings
art,Forte (F)
art,Fortepiano (FP)
art,fortissimo (FF)
art,Grave
art,Half step
art,key signature
art,legato
art,Maestoso
art,marcato
art,measure repeat sign (%)
art,Mezzo forte (MF)
art,Mezzo piano (MP)
art,Moderato
art,molto
art,Pianissimo (PP)
art,piano (P)
art,Presto
art,lento
art,Crochet/ quarter note/rest
art,rallentando
art,ritardando
art,scale
art,Sforzando (SFZ)
art,4 semiquaver notes
art,slur
art,sostenuto
art,staccato
